"ID","PREFERRED","CREATED","LANG","MODIFIED","RELATION","SOURCE","TITLE","CONCEPT_FK"
"97429","TRUE",,"en","2008-10-12 23:44:53.0",,,"section","95204"
"97430","TRUE",,"en","2008-10-12 23:44:52.0",,,"supraphylum","95205"
"97431","TRUE",,"en","2008-10-12 23:44:53.0",,,"subgroup","95206"
"97432","TRUE",,"en","2008-10-12 23:44:54.0",,,"hyperorder","95207"
"97433","TRUE",,"en","2008-10-12 23:44:54.0",,,"capaxorder","95208"
"97434","TRUE",,"en","2008-10-12 23:44:54.0",,,"megaorder","95209"
"97435","TRUE",,"en","2008-10-12 23:44:54.0",,,"gigaorder","95210"
"97436","TRUE",,"en","2008-10-12 23:44:54.0",,,"infracohort","95211"
"97437","TRUE",,"en","2008-10-12 23:44:54.0",,,"subcohort","95212"
"97438","TRUE",,"en","2008-10-12 23:44:54.0",,,"infralegion","95213"
"97439","TRUE",,"en","2008-10-12 23:44:54.0",,,"supercohort","95214"
"97440","TRUE",,"en","2008-10-12 23:44:53.0",,,"group","95215"
"97441","TRUE",,"en","2008-10-12 23:44:53.0",,,"sublegion","95216"
"97442","TRUE",,"en","2008-10-12 23:44:56.0",,,"cultivar group","95217"
"97443","TRUE",,"en","2008-10-12 23:44:53.0",,,"superlegion","95218"
"97444","TRUE",,"en","2008-10-12 23:44:54.0",,,"cohort","95219"
"97445","TRUE",,"en","2008-10-12 23:44:52.0",,,"infrakingdom","95220"
"97446","TRUE",,"en","2008-10-12 23:44:56.0",,,"monster","95221"
"97447","TRUE",,"en","2008-10-12 23:44:52.0",,,"subkingdom","95222"
"97448","TRUE",,"en","2008-10-12 23:44:52.0",,,"Subform","95223"
"97449","TRUE",,"en","2008-10-12 23:44:57.0",,,"Prole","95224"
"97450","TRUE",,"en","2008-10-12 23:44:57.0",,,"Suprageneric Taxon","95225"
"97451","TRUE",,"en","2008-10-12 23:44:56.0",,,"subvariety","95226"
"97452","TRUE",,"en","2008-10-12 23:44:52.0",,,"UnCatalogued ranks","95227"
"97453","TRUE",,"en","2008-10-12 23:44:56.0",,,"convar","95228"
"97454","TRUE",,"en","2008-10-12 23:44:56.0",,,"strain","95229"
"97455","TRUE",,"en","2008-10-12 23:44:56.0",,,"supervariety","95230"
"97456","TRUE",,"en","2008-10-12 23:44:55.0",,,"subsection","95231"
"97457","TRUE",,"en","2008-10-12 23:44:56.0",,,"hybrid","95232"
"97458","TRUE",,"en","2008-10-12 23:44:56.0",,,"species group","95233"
"97459","TRUE",,"en","2008-10-12 23:44:56.0",,,"complex","95234"
"97460","TRUE",,"en","2008-10-12 23:44:56.0",,,"superspecies","95235"
"97461","TRUE",,"en","2008-10-12 23:44:57.0",,,"Candidate","95236"
"97462","TRUE",,"en","2008-10-12 23:44:52.0",,,"interkingdom","95237"
"97463","TRUE",,"en","2008-10-12 23:44:52.0",,,"superdomain","95238"
"97464","TRUE",,"en","2008-10-12 23:44:56.0",,,"microspecies","95239"
"97465","TRUE",,"en","2008-10-12 23:44:56.0",,,"infravariety","95240"
"97466","TRUE",,"en","2008-10-12 23:44:52.0",,,"midkingdom","95241"
"97467","TRUE",,"en","2008-10-12 23:44:52.0",,,"suprakingdom","95242"
"97468","TRUE",,"en","2008-10-12 23:44:52.0",,,"superkingdom","95243"
"97469","TRUE",,"en","2008-10-12 23:44:52.0",,,"infradomain","95244"
"97470","TRUE",,"en","2008-10-12 23:44:52.0",,,"subdomain","95245"
"97471","TRUE",,"en","2008-10-12 23:44:52.0",,,"empire","95246"
"97472","TRUE",,"en","2008-10-12 23:44:54.0",,,"magnorder","95247"
"97473","TRUE",,"en","2008-10-12 23:44:55.0",,,"megafamily","95248"
"97474","TRUE",,"en","2008-10-12 23:44:55.0",,,"grandfamily","95249"
"97475","TRUE",,"en","2008-10-12 23:44:56.0",,,"form","95250"
"97476","TRUE",,"en","2008-12-17 20:55:56.0",,,"Afar","95251"
"97477","TRUE",,"en","2008-12-17 20:55:56.0",,,"Abkhazian","95252"
