"ID","FAMILY","INSTITUTION_CODE","INFRASPECIFIC_EPITHET","REMARKS","COLLECTOR","KINGDOM","LOCALITY","GENUS","INFRASPECIFIC_RANK","BASIS_OF_RECORD","PHYLUM","SPECIFIC_EPITHET","MINIMUM_ELEVATION_IN_METERS","CLASS","SCIENTIFIC_NAME","NOMENCLATURAL_CODE","EARLIEST_DATE_COLLECTED","COUNTRY","CATALOG_NUMBER","STATE_PROVINCE","AUTHOR_YEAR_OF_SCIENTIFIC_NAME","ORDER","CONTINENT","COLLECTION_CODE"
"4045","Lamiaceae","BGBM","globosum",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2420m","Marrubium","Subspecies","PreservedSpecimen","Magnoliophyta","globosum","2420",,"Marrubium globosum subsp. globosum","ICBN","1999-07-15 00:00:00.0","TR","551","Ïsparta/Konya",,"Lamiales","Asia","B"
"4046","Boraginaceae","BGBM","alpestris",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2420m","Myosotis","Subspecies","PreservedSpecimen","Magnoliophyta","alpestris","2420",,"Myosotis alpestris subsp. alpestris","ICBN","1999-07-15 00:00:00.0","TR","552","Ïsparta/Konya",,"Lamiales","Asia","B"
"4047","Poaceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2420m","Koeleria",,"PreservedSpecimen","Magnoliophyta","macrantha","2420",,"Koeleria macrantha (Ledeb.) Schult.","ICBN","1999-07-15 00:00:00.0","TR","553a","Ïsparta/Konya","(Ledeb.) Schult.","Cyperales","Asia","B"
"4048","Poaceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2420m","Poa",,"PreservedSpecimen","Magnoliophyta","spec.","2420",,"Poa spec.","ICBN","1999-07-15 00:00:00.0","TR","553b","Ïsparta/Konya",,"Cyperales","Asia","B"
"4049","Asteraceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2420m","Tragopogon",,"PreservedSpecimen","Magnoliophyta","cf. olympicus","2420",,"Tragopogon cf. olympicus Boiss.","ICBN","1999-07-15 00:00:00.0","TR","554","Ïsparta/Konya","Boiss.","Asterales","Asia","B"
"4050","Asteraceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2420m","Tragopogon",,"PreservedSpecimen","Magnoliophyta","cf. olympicus","2420",,"Tragopogon cf. olympicus Boiss.","ICBN","1999-07-15 00:00:00.0","TR","555","Ïsparta/Konya","Boiss.","Asterales","Asia","B"
"4051","Lamiaceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, area above firewatch tower, 1950m","Teucrium","Variety","PreservedSpecimen","Magnoliophyta","orientale","1950",,"Teucrium orientale var. orientale","ICBN","1999-07-15 00:00:00.0","TR","556","Ïsparta/Konya",,"Lamiales","Asia","B"
"4052","Scrophulariaceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2500m","Verbascum","Variety","PreservedSpecimen","Magnoliophyta","cheiranthifolium","2500",,"Verbascum cheiranthifolium var. cheiranthifolium","ICBN","1999-07-15 00:00:00.0","TR","557","Ïsparta/Konya",,"Scrophulariales","Asia","B"
"4053","Asteraceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2500m","Leontodon","Variety","PreservedSpecimen","Magnoliophyta","oxylepis","2500",,"Leontodon oxylepis var. oxylepis","ICBN","1999-07-15 00:00:00.0","TR","558","Ïsparta/Konya",,"Asterales","Asia","B"
"4054","Berberidaceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2500m","Berberis",,"PreservedSpecimen","Magnoliophyta","crataegina","2500",,"Berberis crataegina DC.","ICBN","1999-07-15 00:00:00.0","TR","559","Ïsparta/Konya","DC.","Ranunculales","Asia","B"
